伊集院北斗,THEiDOLM@STER
直江兼続,戦国☆パラダイス極
蒼龍レオン,カードファイト!!ヴァンガード アジアサーキット編
梶隆臣,嘘喰い
クリストファー・ウェザーフィールド,ときメモGS2
噴上裕也,ジョジョの奇妙な冒険アイズオブヘブン
諏訪勇作,ALLOUT!!
郭嘉,真・三國無双8
文生いさな,キズナストライカー!
