二葉あおい,ビビッドレッド・オペレーション
一条蛍,のんのんびより
小張凜,魔法少女大戦
奈津恵（メグ）,ご注文はうさぎですか?
倉田ユイ（テレビアニメ版） ,トリニティセブン
にゃ～たん,えとたま
ジャクリン,SHOWBYROCK!!
猪熊美月,きんいろモザイク
鳳,境界のRINNE
真柴直,わかば*ガール
管野直枝,ブレイブウィッチーズ
西園寺,田中くんはいつもけだるげ
ラム,Re:ゼロから始める異世界生活
村上椎奈,ステラのまほう
近衛ミカ/リリカ,PSO2TA
ココ,FAIRYTAIL
桃原奈月,OneRoom
ちぃちゃん（下）,プリプリちぃちゃん!!
ティオナ・ヒリュテ,ダンジョンに出会いを求めるのは間違っているだろうか
煌樹まみか,Re:CREATORS
大門山ツラヌキ,新幹線変形ロボ_シンカリオン_THE_ANIMATION
姫乃アヤメ,妖怪ウォッチシャドウサイド
黒酒路子,アクションヒロインチアフルーツ
