アルベルティーナ2世,ひめゴト
マリア,藍巴
マリア,ノラガミ
後手キルカ,灼熱の卓球娘
サミダレ,ディバインゲート
萩野千秋,ひなこのーと
フローリア・レクランセ,白猫プロジェクト
アイラ,白猫テニス
フェア,白猫テニス
セリア,トリックスター
高円寺美子,アニメガタリズ
桜小路葵,AGC38
