鬼塚豪（画像左）,遊戯王VRAINS
円城寺道流,アイドルマスターSideM
ダンテ・モグロ,機動戦士ガンダム鉄血のオルフェンズ
マテウス・ヨハン・ヴァイス（画像左）,幼女戦記
サイドスワイプ,トランスフォーマーアドベンチャー
スオウ=八神（画像左）,マジカルデイズ
五本松大,ACTORS
ゴロー,ダーリン・イン・ザ・フランキス※
涙目のルカ,ジョジョの奇妙な冒険 黄金の風
