マジョリン,おジャ魔女どれみ
佐藤なつみ,も～っと!おジャ魔女どれみ
ワイパー(少年期),ONEPIECE
カナリア,HUNTER×HUNTER(1999年版)
本宮大輔,デジモンアドベンチャー02
ケビン・スミス,テニスの王子様
キリヤ,ふたりはプリキュア
ビィト,冒険王ビィト
アヌビトゥフ,シムーン
ジュエリー・ボニー,ONEPIECE
ダークアクア,プリキュア5(劇場版)
ケンノスケ・ツルギ,明日のナージャ
ブリック,出ましたっ！パワパフガールズZ
聖光ゲンキ,祝（ハピ☆ラキ）ビックリマン
パッチボボ,ボボボーボ・ボーボボ
