青葉弥生,キャプテン翼J
ティル・ニー・ノグ,ジーンダイバー
メリッサ・ソーン,モンタナ・ジョーンズ
洞木ヒカリ,新世紀エヴァンゲリオン
大道寺知世,カードキャプターさくら
愛川茜,魔法使いTai!
日暮あかね,舞-HiME
アカネ・ソワール,舞-乙HiME
岩崎ほのか,らき☆すた
早乙女和子,魔法少女まどか☆マギカ
キキョウ=ゾルディック,HUNTER×HUNTER(2011年版)
巳真兎季子,KEY THE METAL IDOL(OVA)
雪代巴,るろうに剣心追憶編
湯本さゆり,たまこまーけっと
レーレライ・レール,宇宙戦艦ヤマト2199星巡る方舟
不動ジュン,デビルマンレディー
霧越未麻,パーフェクトブルー
リリア,魔法つかいプリキュア!
桜川キクヱ,あっちこっち
セレス,妖しのセレス
ケン太,ちびまる子ちゃん
クリア受神,ビックリマン2000
悟,救命戦士ナノセイバー
リス子,はりもぐハーリー
洞木コダマ,新幹線変形ロボ_シンカリオン_THE_ANIMATION
洞木ノゾミ,新幹線変形ロボ_シンカリオン_THE_ANIMATION
"",""
