カフェ,夢色パティシエール
黒雪姫/ブラック・ロータス,アクセル・ワールド
船久保浩子,咲-Saki-阿知賀編episode of side-A（13話 - ）
鳴護アリサ,とある魔術の禁書目録　エンデュミオンの奇蹟
生田目千足,悪魔のリドル
ライエ・アリアーシュ,アルドノア・ゼロ
戸取かがみ,ファンタジスタドール
東美奈実,東京ESP
小日向縁,普通の女子校生が【ろこどる】やってみた。
石野ミコト,ドライブヘッド
御翔桜世(変身前),魔法少女俺
