スラン,ベルセルク
草薙素子,攻殻機動隊
カルラ,うたわれるもの
フレイヤ/久賀舘要,史上最強の弟子ケンイチ
キャスター,Fate/staynight
アザミ,ポケットモンスター アドバンスジェネレーション
トリッシュ,デビルメイクライ
右代宮霧江,うみねこのなく頃に
フミ子,銀魂
クローデット,クイーンズブレイド
木山春生,とある科学の超電磁砲
小南,NARUTO
ニャムサス,にゃんこい!
二階堂由梨,神のみぞ知るセカイ
アロエ,ポケットモンスター ベストウイッシュ
美城常務,アイドルマスターシンデレラガールズ
リサリサ,ジョジョの奇妙な冒険
マーモ,ドキドキ!プリキュア
田村玲子(田宮良子),寄生獣
領域外の妹,名探偵コナン
辻斬りカオル,ルパン三世(『天使の策略』)
ウィルミット・ゼナム,ガンダム Gのレコンギスタ
アミダ・アルカ,機動戦士ガンダム 鉄血のオルフェンズ
ウザル・デリラ,紅殻のパンドラ
タハミーネ,アルスラーン戦記(日5版)
モーヴ本部長,ACCA13区監察課
荼吉尼,鬼灯の冷徹
