一橋ゆりえ,かみちゅ!
一条かれん,スクールランブル
獅子堂秋葉,宇宙をかける少女
若王子いちご,けいおん!
野島ちか,けいおん!
アゲルちゃん(初代),はなかっぱ
小梅,はなまる幼稚園
マミーメーカー,C³
チャロット,ジュエルペットサンシャイン
芳乃,猫神やおよろず
松実宥,咲-Saki-阿知賀編
大上さやか,コープスパーティー
マヤ,蒼き鋼のアルペジオ
ヴァンダレイ・ジルミンコ,エクスメイデン
両奈,閃乱カグラ
