七尾百合子,アイドルマスターミリオンライブ!
浅見景,ガールフレンド(仮)
宇佐美奈々子,普通の女子校生が【ろこどる】やってみた。
井上成美,レーカン!
星あさみ,あにトレ!EX
マリ子,ミリオンドール
若月チカ,スクールガールストライカーズ
篠木真冬,魔法少女なんてもういいですから。
弦巻こころ,BanG_Dream!
赤来杏,アクションヒロインチアフルーツ
コッコロ,プリンセスコネクト!Re:Dive
中野三玖,五等分の花嫁
