マスクド竹之内,魁!!クロマティ高校
ボガード(初代),ONEPIECE
ギグ,妖逆門
サブラク,灼眼のシャナ
三篠,夏目友人帳
ヴィート,リストランテ・パラディーゾ
サイモン・ブレジネフ,デュラララ!!
キヨナリ・ウルキアガ,境界線上のホライゾン
ゴート,超速変形ジャイロゼッター
カデンツァ,裏切りは僕の名前を知っている
織田信長,殿といっしょ
ネオヴァンデモン,デジモンクロスウォーズ～悪のデスジェネラルと七つの王国～
ブリキ・ライター,アクセル・ワールド(Blu-ray/DVD版)
グレコ・ローガン,ガンダムビルドファイターズ
レイザー,HUNTER×HUNTER(2011年版)
ハイペリオン,聖闘士星矢Ω
スタースクリーム,トランスフォーマーギャラクシーフォース
金角(左側),NARUTO疾風伝
悟空猿鬼,ナンバカ
ダルシア,ウルフズレイン
ガオガオちゃん,うどんの国の金色毛鞠（左）
クロノファング・タイガー,カードファイト!!ヴァンガードGストライドゲート編
ジバニャン,妖怪ウォッチシャドウサイド
柳生輿矩,銀魂
