伊勢夏樹,ALLOUT!!
アルゴン,SHOW BY ROCK!!#
安藤タケル,チア男子!!(右側)
島直樹,遊戯王VRAINS
七瀬望,ツキプロ
式島律,Caligula-カリギュラ-
