桜満春夏,ギルティクラウン
ソラ,大江戸ロケット
シェスカ,鋼の錬金術師FULLMETAL ALCHEMIST
デントのヤナップ,ポケットモンスター ベストウイッシュ
マオのアマカジ,ポケットモンスター サン&ムーン
