牛山一男&牛山末男&牛山三男,勇者王ガオガイガー
牛山次男,ベターマン
スエッソン・ステロ※,∀ガンダム
華雄ザンネック,SDガンダム三国伝
パブリックフォン,グレゴリーホラーショー
キンコ,グレゴリーホラーショー
ストーンマン,ロックマンエグゼ
