沢渡ほのか,センチメンタルグラフティ
エキドナ・イーサッキ,スーパーロボット大戦OG
ステラ、ロレッタ,悪魔城ドラキュラ
パンドーラ,新・光神話パルテナの鏡
カルディア・バシリッサ,無限のフロンティア
KOS-MOS、T-elos,Xenosaga
濃姫,戦国無双シリーズ
わや姫※1,namco×CAPCOM
マリス・ルクトール,リヴィエラ
マリエッタ,ユグドラ・ユニオン
ジルヴァ,ユグドラ・ユニオン
367号,ユグドラ・ユニオン
エリザベス・コンウェイ※2,タイムクライシス4
ネフリー・オズボーン※2,テイルズ・オブ・ジ・アビス
ゲルダ・ネビリム,テイルズ・オブ・ジ・アビス
ウルド,魔探偵ロキ
