コキュウ,ハーメルンのバイオリン弾き
北城遥都,HAUNTEDじゃんくしょん
佐伯虎次郎※1,テニスの王子様
一条誠※2,BOY
特車隊ポリスウィン,電光超特急ヒカリアン
ライトニングバスターセブン,電光超特急ヒカリアン
アナト※,ドラゴンボール超
