フォートレスマキシマス,ヘッドマスターズ
ラチェット,マイクロン伝説
コーン守,キャッ党忍伝てやんでえ
猫,DARKER_THAN_BLACK
ヘルベルト・フォン・カスペン,機動戦士ガンダム_MS_IGLOO
ヘンドリック・ブルーザー,機動戦士ガンダムAGE
山椒魚の半蔵,NARUTO
ゼクトール,強殖装甲ガイバー（OVA）
藤虎/イッショウ,ONEPIECE
王大人,魁!!男塾
シャトルセイバー,伝説の勇者ダ・ガーン
"",""
