王子,星の王子さま プチ・プランス
ブリアン,十五少年漂流記
ラスカル先生,赤ずきんチャチャ
エリオス,美少女戦士セーラームーンSuperS
金田一一,金田一少年の事件簿
江口竜平,こっちむいて!みい子
鋼牙,犬夜叉
小橋健太,はじめの一歩
トッポ・ジージョ,トッポ・ジージョ劇場
万丈目準,遊☆戯☆王デュエルモンスターズGX
アグモンとその進化形態/ナレーション,デジモンセイバーズ
間狩徹,ライブオンCARDLIVER翔
タルト,フレッシュプリキュア!
ルーチェモン,デジモンクロスウォーズ
スポンジボブ・スクエアパンツ,スポンジ・ボブ（シーズン4以降）
シュリケンジャーの声,忍風戦隊ハリケンジャー
丘菊之丞,サクラ大戦シリーズ
イクティノス,テイルズオブデスティニー
凌統,三國無双シリーズ
劉禅,三國無双シリーズ
蓮見達也,ときめきメモリアル Girl's Side 3rd Story
蟹座のシラー,聖闘士星矢Ω
間田敏和,ジョジョの奇妙な冒険オールスターバトル
画材眼魔,仮面ライダーゴースト
トレーボル,ONEPIECE
