タヌキのミドリ,天使のしっぽ
ニャロモン,デジモンフロンティア
バジル,マシュマロ通信
モモ,しにがみのバラッド。
ランダージョ,おとぎ銃士赤ずきん
てんそう,いぬかみっ!
コンラッド博士,レジェンズ
浅見ひびき,らぶドル
ミサンガ,アイ!マイ!まいん!
ポーラ・フォックス,パラッパラッパー
