ドイツ,Axis Powersヘタリア
茶渡泰虎,BLEACH
関羽ガンダム,SDガンダム三国伝
カーネル,ロックマンエグゼ
青田坊,ぬらりひょんの孫
副会長,男子高校生の日常
ブラウ・バルム,バトルスピリッツソードアイズ
武内源太,黒子のバスケ
ジャックナイフ・ドラゴン,バディファイト
デレク・ジャックロウ,機動戦士ガンダムAGE
金城真護,弱虫ペダル
テラキオン,劇場版ポケモンベストウイッシュ キュレムVS聖剣士ケルディオ
グラサン,夏のあらし!
アグニ,黒執事
鬼灯,鬼灯の冷徹
タイロン,マジンボーン
エルフマン・ストラウス,FAIRYTAIL
エギル,ソードアート・オンライン
乱崎帝架,狂乱家族日記
白銀穂貴,メガネブ!
鷹峯誠一郎,曇天に笑う
ズンダー,美男高校地球防衛部LOVE!
ダダチャ,美男高校地球防衛部LOVE!LOVE!
キシュワード,アルスラーン戦記（日5版）
本場猛,干物妹!うまるちゃん
キング,ワンパンマン
クマ井ナツ(イラスト右),くまみこ
土方歳三,ドリフターズ
クリストフ・ジャコメッティ,ユーリ!!!onICE
ザキラ,デュエルマスターズ
