河内恭介,焼きたて!!ジャぱん
ナンバー5/アビゲイル・リンカーン※女キャラである,KNDハチャメチャ大作戦
ウィルト,フォスターズホーム
綱海条介,イナズマイレブン
マック・ロニージョ,イナズマイレブン
真下ヒデアキ,デジモンクロスウォーズ～時を駆ける少年ハンターたち～
CUBE,アーマード・コアフォーアンサー
ダン・モロ,左同
ドランバルト,FAIRYTAIL
池沢金之助,イタズラなKiss
黄瀬勇一,スマイルプリキュア!
ピアーズ・ニヴァンス,バイオハザード6
重吾,NARUTO
デルシン・ロウ,inFAMOUS_Second_Son
レオナルド,ログ・ホライズン
ディアヴァル,マレフィセント
ハンゾー,overwatch
光伊計名,ROOTS26
庄司慎吾,頭文字D(新劇場版)
酒呑童子,陰陽師(ゲーム)
"",""
