マリス=メイデン,ヴァリアントナイツ
水越萌,D.C.～ダ・カーポ～シリーズ
桜月キラ,双恋シリーズ
ツキヨミ(左下の小動物),舞-HiME～運命の系統樹～
長ヶ部澪,かのこん
ポーラ,黒執事
カスティル(右側),ファントム・ブレイブ
安栖頼子,アルカナハートシリーズ
リコル・チュアート,SDガンダム GGENERATION SPIRITS
