黒崎一護,BLEACH
高嶺竜児,リングにかけろ
星矢,聖闘士星矢＊1
アウル・ニーダ,機動戦士ガンダムSEEDDESTINY
ロディ・マッドーナ,機動戦士ガンダムAGE
佐藤寿也,MAJOR
バーナビー・ブルックスJr.,TIGER&BUNNY
両国逸巳,ミラクル☆トレイン
マルコ,ONEPIECE
ポッド,ポケットモンスター ベストウイッシュ
結城亮,東のエデン
クレア・スタンフィールド,BACCANO!
平丸一也,バクマン。
吉川ヤクモ,陰陽大戦記
信,キングダム
ターブル,ドラゴンボール オッス!帰ってきた孫悟空と仲間たち!!
ウイス,ドラゴンボールZ神と神
丹波光一郎,ダイヤのA
灰崎祥吾,黒子のバスケ
三輪秀次,ワールドトリガー
アザゼル,神撃のバハムートGENESIS
キジャ,暁のヨナ
呂蒙ディジェ,SDガンダム三国伝
星宮エイジ,ビッグオーダー
