チル,戦闘メカザブングル
フランケンロボくん,それいけ!アンパンマン
まる子,ちびまる子ちゃん
タルるート,まじかる☆タルるートくん
みかん,みかん絵日記
センリツ,HUNTER×HUNTER(1999年版)
アルテナ,NOIR
カゲマン/影万太郎,探偵少年カゲマン
スージー,コジコジ
