赤木リツコ,新世紀エヴァンゲリオン
ニコ・ロビン,ONE PIECE
ニコ・オルビア,ONE PIECE
キキョウ,ONE PIECE※
ヴァドス,ドラゴンボール超
王舞,霊剣山～星屑たちの宴～
真辺鈴,ロックマンエグゼStream
グレース,アンリミテッド:サガ
サファイア,アンリミテッド:サガ
ジョーイ(2代目),ポケットモンスターシリーズ
メイシス・マルク,スーパーロボット大戦シリーズ
バランシャ,金色のガッシュベル!!
宇佐美さとみ,キラキラ☆プリキュアアラモード
