烏丸ちとせ,ギャラクシーエンジェル
薔薇水晶,ローゼンメイデン
加賀愛,さよなら絶望先生
園宮可憐,スカイガールズ
ケイコ,みなみけ
ミザリー,RubyGloom
インコちゃん,とらドラ!
荒谷紺子,イナズマイレブン
菊坂胡蝶,大正野球娘。
セツナ,NEEDLESS
ニコラ(プルー),FAIRYTAIL
メルディ,FAIRYTAIL
稲森弓弦,まりあ†ほりっく
戸持娘,快盗天使ツインエンジェル
Q,C
桐生萌郁,Steins;Gate
パティ・スリーピース,夢喰いメリー
松本りせ,ゆるゆり
小鍛治健夜,咲-Saki-阿知賀編episode of side-A
暗落亭苦来,じょしらく
月森円香,零～月蝕の仮面～
エル・メリゼ,solatorobo
宇賀神みよ,ときメモGS3
未来,閃乱カグラ
小鳥遊おとは,プリティーリズム・レインボーライブ
黒川凪子,ガールフレンド(仮)
エリゼ・シュバルツァー,閃の軌跡
貞塚ナオ,食戟のソーマ
人魚姫ティーナ,クイーンズブレイドグリムワール
グズ子,Lostorage incited WIXOSS
月島唯,落語天女おゆい
"",""
"",""
