宮村みやこ,ef
悠木陽菜,FORTUNE ARTERIAL
小野宮結月,ましろ色シンフォニー
春日野穹,ヨスガノソラ
カムチャタール,うたわれるもの(OVA)
周防天音,グリザイアの果実
鈴白なぎさ,fortissimoEXA//Akkord:Bsusvier
鑑純夏,マブラヴ
モニカ・レイブランド,ダーククロニクル
桜乃悠,はるのあしおと
赤城,戦艦少女R
大淀,戦艦少女R
