くーちゃん,アニマル横町
きみどり,妖逆門
柊つかさ,らき☆すた
ラム・ホア,マクロスF
天江衣,咲-Saki-
セト,NEEDLESS
エイダ=ベザリウス,PandoraHearts
ぷらぐ・クライオスタット,ファイト一発!充電ちゃん!!
アストレア,そらのおとしものf（フォルテ）
るん,Aチャンネル
ラミア,べるぜバブ
春野姫,あっちこっち
竜造寺こま,足洗邸の住人たち。
三嶋ゆらら,ガールフレンド(仮)
成瀬万理亜,新妹魔王の契約者
アクア,この素晴らしき世界に祝福を!※ドラマCD
イングヒルト・ブロニコフスキー,シュヴァルツェスマーケン
朝霧あかね,ツキウタ。 THE ANIMATION
富樫樟葉,中二病でも恋がしたい!
相沢菜野花,"WakeUp,Girls!"
