福富カメ子,忍たま乱太郎
ボリス・クズネツォーフ,ベイブレード
ドラえもん,ドラえもんテレ朝版第2期
ひょーひょー,カイバ
うわさっち,たまごっち
サトシのポカブ→チャオブー,ポケットモンスターベストウイッシュ
パノッティ,ぷよぷよ～ん
キャンサー・バブル,流星のロックマン
メルポ,Yes!プリキュア5 GoGo!
グリーン(画像下),たこやきマントマン
エンゼル御前,武装錬金
川島（右）,あたしンちシリーズ
ポコ,アークザラッド(TVアニメ版)
ポプカ,風のクロノアシリーズ
量産型ボン太くん,フルメタル・パニック?ふもっふ
シャーロット・アマンド,ONEPIECE
フュンフ（左）,グランブルーファンタジー
