早田誠,キャプテン翼J
福田吉兆,スラムダンク
激,ジバクくん
うちはイタチ,NARUTO
浮竹十四郎,BLEACH
ドレッドロック,トランスフォーマー ギャラクシーフォース
金澤紘人,金色のコルダ
船井譲次,カイジ
Z-ONE,遊戯王5D's
風鳴弦十郎,戦姫絶唱シンフォギア
オリヴァー・マイ,機動戦士ガンダム MS IGLOO
流竜馬,ゲッターロボ(OVA)
邪武,聖闘士星矢(OVA)
ジャズ,トランスフォーマー アニメイテッド
Dr.サンダーランドJr.,テガミバチ
原学,同級生
ポルポ,ジョジョの奇妙な冒険 黄金の風
