麻倉葉,シャーマンキング
ジュリ・ウー・ニェン,機動戦士ガンダムSEED
黒門伝七,忍たま乱太郎
ラスト,鋼の錬金術師(2003年版)
写楽,ブラックジャック
イッサ,アニマル横町
セレーナ・レシタール,第3次スーパーロボット大戦α
如月タクミ,GAD GUARD
川尻早人,ジョジョの奇妙な冒険オールスターバトル
マグ・ランチャー,神機世界エヴォルシア
"",""
"",""
