三井祐子,GA芸術科アートデザインクラス
松岡咲子,みつどもえ
カベルネ,ポケットモンスター ベストウイッシュ
近衛ねね,ジュエルペットハッピネス
布束砥信,とある科学の超電磁砲S
ねこにゃー,ガールズ&パンツァー
沖田ヒナコ,ダンボール戦機ウォーズ
煌坂紗矢華,ストライク・ザ・ブラッド
昏峰あとり,ウィッチクラフトワークス
アンカ・ラインベルガー(一番左にいる女性),進撃の巨人
テライ・アキノ,白銀の意思アルジェヴォルン
安藤つばき,SHIROBAKO
立花香織,HIGHSCORE
ナァーザ・エリスイス,ダンジョンに出会いを求めるのは間違っているだろうか
"",""
