リヒター・ベルモンド,悪魔城ドラキュラX 血の輪廻
B'TX,B'TX
ロブ・ハーマン,ゾイド-ZOIDS-
デジタマモン,デジモンアドベンチャー/デジモンアドベンチャー02
ナイトマン,ロックマンエグゼ
テツヤ・オノデラ,スーパーロボット大戦OG
サーベルタイガー,BLUE DRAGON(テレビアニメ版)※1
是音,最遊記※2
