淡雪姫乃,新白雪姫伝説プリーティア
ルーベット,ゴクドーくん漫遊記
フーム,星のカービィ
里村茜,ONE～輝く季節へ～
ミスキラー/ミサキ・ハルカ,F-ZERO ファルコン伝説
源あやめ,tactics
下坂部平太〈2代目〉,忍たま乱太郎
若林鮎,同窓会
ニャンニャンアーミー3号,サイボーグクロちゃん
