フー,NARUTO
田久地将五,コープスパーティー
島田快,コープスパーティー
キャスマ=トト,戦う司書
カラム,ファイアーエムブレム覚醒
ギャンレル,ファイアーエムブレム覚醒
月影/日影,遊戯王ARC-V
