雪村螢子,幽☆遊☆白書
朝岡しのぶ,熱血最強ゴウザウラー
レイン・ミカムラ,機動武闘伝Gガンダム
マリー・エージェント,テイルズオブデスティニー
ナーデル,サクラ大戦3
アルシオーネ,魔法騎士レイアース
ベルチェ（振り子のベルチェ）,美少女戦士セーラームーンR
花使いセレセレ,美少女戦士セーラームーンSuperS
宮藤清佳,ストライクウィッチーズ
いぶき,ストリートファイターⅢ
イフリータ,神秘の世界エルハザード(OVA)
朱童ひふみ,双界儀
中村麻子,うしおととら(OVA)
アニス・ダンデライオン,ネクストキング
清音,天地無用!
葵今日子,新世紀GPXサイバーフォーミュラ
ユリコ・スター,無責任艦長タイラー(アニメ版)
イヴ・ギャラガー,悠久幻想曲 2nd Album
クリス・サイン,ツインシグナル
香貫花・クランシー,機動警察パトレイバー※
