ランカ・リー,マクロスF
沙倉楓,けんぷファー
三原千帆、三原千世,こばと。
シトロン,バスカッシュ!
コトネ,ポケットモンスターダイヤモンド&パール
藍羽ルリ,セイクリッドセブン
姫川エレナ,ファイ・ブレイン
サザンカ・ビアンカ,アクエリオンEVOL
メロエッタ,ポケットモンスター ベストウイッシュ
アルトレーネ,武装神姫
GUMI,Vocaloid
枝葉柚希,君のいる町
愛乃めぐみ/キュアラブリー,ハピネスチャージプリキュア!
アンラブリー,ハピネスチャージプリキュア!
春日部耀,問題児たちが異世界から来るそうですよ?
シャルロッテ・エーベルフレイヤ・ドロッセル,ヴァイオレット・エヴァーガーデン
"",""
"",""
