張五飛,新機動戦記ガンダムW
長曾我部元親,戦国BASARA
チョコラータ,ジョジョの奇妙な冒険(ゲーム)
ティッツァーノ,ジョジョの奇妙な冒険(ゲーム)
アイシー・ペンギーゴ,ロックマンX1
