真壁一騎,蒼穹のファフナー
ラルゴ,ブラック・ジャック（画像下）
なみだ君,ぷるるんっ！しずくちゃん
秋丸恭平,おおきく振りかぶって
仲上眞一郎,true tears
良太猫,ぬらりひょんの孫
コーン,ポケットモンスター ベストウイッシュ
西島真澄,未来日記
フランソワ,魔法つかいプリキュア!（第38話～、画像右）
乙雅三 / チープ・トリック,ジョジョの奇妙な冒険 ダイヤモンドは砕けない
