土間うまる,干物妹!うまるちゃん
ゲロ吉,曇天に笑う
ペイペイン,SHOWBYROCK!!
萌香,この美術部には問題がある!
宇狩ころ美,ツインエンジェルBREAK
ウェンディ,ピカイア!
目黒めぐみ,つうかあ
真波マリン,アイカツフレンズ!
猿渡暁音(左),アニマエール!
