小坂田朋香,テニスの王子様
ブラック・マジシャン・ガール(初代),遊☆戯☆王デュエルモンスターズ
佐藤寿也(第1期･少年期),メジャー
星河スバル,流星のロックマン
レン・エルシ・ジュエリア,ToLOVEる
ルン・エルシ・ジュエリア,ToLOVEる
おたけ,さらい屋五葉
キファ・ノールズ,伝説の勇者の伝説
内村桂,銀河へキックオフ!!
ユキノ・アグリア,FAIRYTAIL
馬神弾,バトルスピリッツ 少年激覇ダン/バトルスピリッツ ブレイヴ
カーラ（画像右）,ふしぎ星の☆ふたご姫Gyu!
近江圭,ふたつのスピカ
飛田裕,学園アリス
日和見日郎,怪物王女
宿木明(画像左),絶対可憐チルドレン
本間イレーヌ(画像左),あの日見た花の名前を僕達はまだ知らない。
入見カヤ,東京喰種
狭霧友子,トリアージX
"",""
"",""
