葵豹馬,超電磁ロボコン・バトラーV
上杉達也,タッチ
マーグ,六神合体ゴッドマーズ
トンガリ/尖浩二,キテレツ大百科)
カツドンマン,それいけ!アンパンマン
ジョーカー,スマイルプリキュア！
小乃東風,らんま1/2
新田瞬,キャプテン翼※昭和版
グリンパーチ,トリコ
鉄ちゃん/ゼンダマン1号,ゼンダマン
猿飛肉丸,さすがの猿飛
こまわり君,がきデカ
校長先生,銀の匙)
シャカ,聖闘士星矢
ミーメ,聖闘士星矢)
伊良部一郎,空中ブランコ
界王神,ドラゴンボールZ
オルフェウス,聖闘士星矢邪神エリス
ピーカ,ONEPIECE)
ハンバーガーキッド,それいけ!アンパンマン
すなおとこ,虹のピラミッド
菊凶,雲のように風のように
ポプ子,ポプテピピック※Bパート本編
双一,伊藤潤二コレクション
