トレヴァー・マロニー,ストライクウィッチーズ
シルドーク,爆外伝
ドーナツマン,それいけ!アンパンマン
衝撃のアルベルト,ジャイアントロボ(OVA)
レドフ・ヒス,宇宙戦艦ヤマト2199
川畑船長,うみねこのなく頃に散
ガルシルド,イナズマイレブン
ドラゴン・ゲンドーソー,ニンジャスレイヤー
犬操,闘将!!拉麺男
ドクロクシー,魔法つかいプリキュア!
ロックステディ,ミュータントタートルズ（東和ビデオ版）
ホウイチ,銀魂
