ローマ帝国,Axis Powers ヘタリア
ヤン・ウェンリー,銀河英雄伝説外伝(OVA)＊1
カフカ・サンビーム,金色のガッシュベル!!
キリコ・キュービィー,装甲騎兵ボトムズ
スーマン・ダーク,D.Gray-man
大門英,デジモンセイバーズ＊2
メルト,ドルアーガの塔
フエ,妖逆門
レオリオ=パラディナイト,HUNTER×HUNTER(1999年版)
ライオコンボイ,ビーストウォーズⅡ 超生命体トランスフォーマー
ポプ子,ポプテピピック ※第11話Bパート
陸奥出海,陸奥圓明流外伝 修羅の刻
ネフェルタリ・コブラ,ONE PIECE＊3
ダークネス,遊戯王GX
