車谷善之助,BLEACH
鮫氷新一,つよきす(アニメ版)
ピコデビモン,デジモンセイバーズ
つむりん,ぷるるんっ!しずくちゃん
ベント・ガリアーノ,イナズマイレブン
蚊忍者,遊☆戯☆王ZEXALII
西丈一郎,GANTZ
タウンゼント・ハリス,ギャグマンガ日和
アルビレオ・イマ,魔法先生ネギま!ゲーム版
ラッキョー,ゾイドワイルド
