メモル,とんがり帽子のメモル
小川美紅,ウイングマン
プーアル,ドラゴンボールシリーズ
チチ(2代目),ドラゴンボールシリーズ
たまちゃん,ちびまる子ちゃん
グゥ,ジャングルはいつもハレのちグゥ
キッコロ,モリゾーとキッコロ
美夕,吸血姫美夕(OVA)
フィーナ,Ys
キャラット・シールズ,エターナルメロディ
橘芽依子,SNOW
チェルシー・トーン,テイルズオブデスティニー
キャティ,ガルフォースシリーズ
マイマイ・プロット,BURAI
綱手,天外魔境ZIRIA(PCエンジン版)
ホホエミさん,あたしンちシリーズ ※メイン画像右端の小さい女性。
