スーパースターマン/目立たがる,とっても!ラッキーマン
神城桃矢,獣戦士ガルキーバ
相田ケンスケ,新世紀エヴァンゲリオン
鬼蜘蛛丸,忍たま乱太郎
トラップ,フォーチュン・クエスト
橘あすか,スクライド
マリク・イシュタール,遊☆戯☆王デュエルモンスターズ
闇マリク,遊☆戯☆王デュエルモンスターズ
セイラン,アンジェリーク
アレク,アークザラッド3
カシェル,ヴァルキリープロファイル
鹿目知久,魔法少女まどか☆マギカ
ケン・マスターズ,ストリートファイター
ガイ,ストリートファイター
木島海平,聖ルミナス女学院
水原誠,神秘の世界エルハザード
虚宿,ふしぎ遊戯 玄武開伝
エアラザー,ビーストウォーズ
