クリスティナ・シエラ,機動戦士ガンダム00
山川美千子,ストライクウィッチーズ
相川清香,インフィニット・ストラトス
シール・サンテ,魔法使いと黒猫のウィズ
佐伯三花,けいおん
小磯つかさ,けいおん
美琴,D.C.Ⅲ
