松下隆之介,君と僕。
ミカエル,神撃のバハムートGENESIS
クリフ,キュートランスフォーマー
富井大樹,少年ハリウッド
橘イツキ,PHANTASY STAR ONLINE2 THE ANIMATION
如月ルヰ,KING OF PRISM byPrettyRhythm
東条秀明※1,ダイヤのA
リン,北斗の拳イチゴ味
黒渦ガイト,フューチャーカード バディファイトDDD
レンレン,初恋モンスター
リヒト・フォン・グランツライヒ,王室教師ハイネ
カリオストロ,戦姫絶唱シンフォギアAXZ
12話での本人役※2,ポプテピピック
"",""
"",""
