大路もち蔵,たまこまーけっと
鉢嶺拓磨,メガネブ!
国見英,ハイキュー!!
吉田幹比古,魔法科高校の劣等生
瀬名翼,アイカツ!-アイドルカツドウ!-
神楽坂公人,庶民サンプル
嘉味田正一,セイレン
張楚嵐,一人之下
天霧綾斗,学戦都市アスタリスク
斎藤,三ツ星カラーズ
今川シュウ,Go!プリンセスプリキュア
依田勉,銀の匙
ナナセ・コウイチ,ガンダムビルドダイバーズ
榎木晋太郎,火ノ丸相撲
