志久ななみ,ハートキャッチプリキュア
緑川ひな,スマイルプリキュア
袴田サチ,ジュエルペットハッピネス
ミリアーナ,FAIRYTAIL
カーチャ,FAIRYTAIL
パテマ,サカサマのパテマ
てとら,ログ・ホライズン2
ラティファ・フルーランザ,甘城ブリリアントパーク
レベッカ・ロッセリーニ,ルパン三世
クルルシファー・エインフォルク,最弱無敗の神装機竜
エマ,聖闘士星矢Ω
ミミ・パールバトン,Re:ゼロから始める異世界生活
アルパカ・スリ(けものフレンズ),けものフレンズ(アニメ版)
日向まりこ,キラキラ☆プリキュアアラモード
ネジ柳ユーコ,ヘボット!
トマ・パロット,魔法陣グルグル(三作目)
犬山まな,ゲゲゲの鬼太郎(6期)
谷口はるみ,citrus
ヒロ,ガンダムビルドダイバーズ(※イラスト右)
恭子,君の膵臓をたべたい(劇場アニメ版)
"",""
