じーさん,絶体絶命でんぢゃらすじーさん
サンダーマン,ロックマンエグゼ
伊達征士,鎧伝サムライトルーパー
スカイマックス,勇者エクスカイザー
ダイフクー,コロッケ!
川口,クレヨンしんちゃん
ライノックス,ビーストウォーズ
アレキサンドロ・ボルタ,タイムトラベル少女～マリ・ワカと8人の科学者たち～
2※キース・ブライアン,エースコンバット3
※3マイトガイン,勇者特急マイトガイン
ウェットルキング,ケロロ軍曹
ダヤッカ,天元突破グレンラガン
ウェルフィン,HUNTER×HUNTER(2011年版)
荒井警部,アリス探偵局
ジョドファ,モンタナ・ジョーンズ
ロド・ソドム,ジャングルの王者ターちゃん
ニド・ソドム,ジャングルの王者ターちゃん
