緑川宏,GIANTKILLING
バットマン/ブルース・ウェイン,バットマン アーカム・ナイト
マッシュ・レネ・フィガロ,ディシディアファイナルファンタジー オペラオムニア
リゾット・ネエロ,ジョジョの奇妙な冒険 黄金の風
