塚本秀一,響け!ユーフォニアム
白雪徹平,バンドやろうぜ!
チャド・チャダーン,機動戦士ガンダム鉄血のオルフェンズ
山田二郎,ヒプノシスマイク
伝木凱タモツ,AKIBA'STRIP(アニメ)
"",""
