麻衣,あいまいみー
岬百合亜,宇宙戦艦ヤマト2199
アスクール,キディ・ガーランド
かばんちゃん,けものフレンズ
小森しゅり,小森さんは断れない!
紫々戸獅穂,実は私は
ビアンカ,終末のイゼッタ
服部静夏,ストライクウィッチーズ（劇場版）
神無月アリン,トリニティセブン
四宮ひまわり,ビビッドレッド・オペレーション
蛍,Baby Princess
加藤真由美,みつどもえ
古谷楓,ゆるゆり
南ことり,ラブライブ!
アキアカネ,リルリルフェアリル
ひまわり,リルリルフェアリル
青木夕,となりの吸血鬼さん、メイン画像左
青葉初芽,RELEASE_THE_SPYCE
