メル・レゾン,サクラ大戦
アルス,魔法少女隊アルス
真双津椿,陰からマモル!
藍緋,結界師
フミエ,電脳コイル
桑原鞘子,バンブーブレード
多田かなえ,ハートキャッチプリキュア
スージーQ,ジョジョの奇妙な冒険 戦闘潮流
5代目峰岸みなみ,AKB0048
増子美代,ハピネスチャージプリキュア!
イルゼ・バーンリ,風の少女エミリー
松本梢江,グラップラー刃牙
"",""
"",""
