トオボエ,WOLF'SRAIN
森蘭丸,戦国BASARA
アレクセイ,メタルファイトベイブレード
犬戒慎司,緋色の欠片シリーズ
レオ・ステンバック,ZONE OF THE ENDERS
ギュレッド,LaughterLand
九条院日和,断罪のマリア
バットマイト,バットマン:ブレイブ&ボールド
宮本兎,ティーンエイジ・ミュータント・ニンジャ・タートルズ（2003年版）
ドクロッピ,はっぴ～カッピ
間田敏和,ジョジョの奇妙な冒険 ダイヤモンドは砕けない
ティビー・パールバトン,Re:ゼロから始める異世界生活
