比嘉夏海,南鎌倉高校女子自転車部
車田ゴウ,ドライブヘッド
"",""
三弦亜紀楽※画像左下,クラシカロイド
雛霧あさひ※画像右,アリスと蔵六
騎咲レイ,アイカツスターズ!
マクギリス・ファリド(幼少期),機動戦士ガンダム鉄血のオルフェンズ
茂野大吾(右側),メジャー2nd
エドワード・メイソン,殺戮の天使
六月透,東京喰種:re
ヒダカ・ユキオ,ガンダムビルドダイバーズ
