機動戦士Ζガンダム,ジャミトフ・ハイマン(2代目)
うる星やつら,友引高校校長
重戦機エルガイム,ギワザ・ロワウ
スラムダンク,安西光義
幽☆遊☆白書,ジョルジュ早乙女、ナレーション
NINKU -忍空-,アジラダ、ナレーション
ゲゲゲの鬼太郎(第4期),ぬらりひょん
魔神英雄伝ワタルシリーズ,剣部シバラク
ONEPIECE,Tボーン
フルメタルパニック,リチャード・ヘンリー・マデューカス(画像中央)
フレッシュプリキュア!,総統メビウス
スマイルプリキュア,青木曾太郎
フィニアスとファーブ,モノグラム
もやしもん,樹慶蔵
僧侶ガンタンク,SDガンダム
ゲゲゲの鬼太郎(第6期),ベリアル
