美墨なぎさ/キュアブラック,ふたりはプリキュア
アスタ,.hack シリーズ
スメラギ・李・ノリエガ,機動戦士ガンダム00
ワシリーサ,とある魔術の禁書目録
吉野杏里,サクラ大戦
岡島タエ子（少女期）,おもひでぽろぽろ
月島雫,耳をすませば
オルタ,パンツァードラグーン
想鐘サキ,タツノコVSカプコン
キャサリン・ルース,ダンボール戦機ウォーズ
ララ子・ゴッドスピード,宇宙パトロールルル子
五官王,鬼灯の冷徹(第2期)
