ユキ(2期～8期),忍たま乱太郎
木之本桜,カードキャプターさくら
アニタ,ロミオの青い空
シーダ,ファイアーエムブレム 紋章の謎(OVA)
ハニー姫,ザ☆ドラえもんズ おかしなお菓子なオカシナナ?
MAICO,MAICO2010
マロン,YAT安心!宇宙旅行
和泉こずえ,無限のリヴァイアス
ヒナノ,トラブルチョコレート
