パティ・パンプキン,超力ロボガラット
野上麗香,シティーハンターシリーズ
ダークヘラ,ビックリマン
アニス・ファーム,超音戦士ボーグマン
ナディア・ラ・アルウォール,ふしぎの海のナディア
トリシャ・エルリック,鋼の錬金術師
スロウス,鋼の錬金術師（2003年版）
カルラ・イェーガー,進撃の巨人
半田えみ,ばらかもん
北大路花火,サクラ大戦シリーズ
ハルマ・フロックハート,超鋼戦紀キカイオー
イエール,超鋼戦紀キカイオー
本阿弥さやか,YAWARA!※左の人物
黄坂南,ジンキ
