歳納京子,ゆるゆり
暮井珠緒,這いよれ!ニャル子さん
三村かな子,アイドルマスターシンデレラガールズ
三枝わかば,ビビッドレッド・オペレーション
鈴木燈,のうりん
愛,あいまいみー
西御門多美,ハナヤマタ
正岡小豆,GO!GO!575
番場真昼/番場真夜,悪魔のリドル
花梨,モモキュンソード
羽無公子,灼熱の卓球娘
レイティア・サンテミリオン（画像右）,ハンドレッド
柊木秋(左上),犬神さんと猫山さん
岩崎志保,"WakeUp,Girls!"
"",""
