ガブリーヌ,はりもぐハーリー
コアンコラ,アンパンマン
バブルマン,ロックマンエグゼ
カットマン,ロックマンエグゼ
バーバモジャ,バーバパパ
西部丸馬,爆球連発!!スーパービーダマン
穆淸院門前稲荷桜,はいぱーぽりす
トトトン,ヒミツのここたま
檜山真実,ダンボール戦記
清瑞,火魅子伝
